category,relpath,size_human,bytes,lines,rows_est,mtime
article_metrics,per_article_metrics.csv,625.1KB,640084,126,125,2026-02-25T22:45:26
article_metrics,per_article_metrics.jsonl,804.8KB,824093,125,,2026-02-25T22:45:26
article_metrics,per_article_metrics_analysis_ready.csv,653.6KB,669286,126,125,2026-02-25T22:45:26
grobid_tei,grobid_tei/00-Metaphorical Traits of the Language of the COVID-19 Pandemic_ A Short-Term Diachronic Study.tei.xml,97.7KB,99997,,,2026-02-25T22:50:38
grobid_tei,grobid_tei/00-On tokens and tokenisation_ a conjunctural approach to thinking GenAI in the Humanities classr.tei.xml,65.8KB,67407,,,2026-02-25T22:50:41
grobid_tei,grobid_tei/00-The Pattern Nexus_ Postdigital Aesthetics_ Technoscience and Mysticism in Tom McCarthy_s The M.tei.xml,92.3KB,94499,,,2026-02-25T22:50:44
grobid_tei,grobid_tei/00-Toxic intimacies_ Tawada Y_ko_s The Emissary as Counternarrative to Japan_s nuclear and enviro.tei.xml,86.2KB,88315,,,2026-02-25T22:50:47
grobid_tei,grobid_tei/00-_I made no sound at all__ Exploring Indonesia_s collective trauma in Saman and Enrico_s Love S.tei.xml,68.3KB,69939,,,2026-02-25T22:50:49
grobid_tei,grobid_tei/01-Apple Trees and Plastic Ducks_ Gardens as Post-pastoral Landscapes in Contemporary British Fic.tei.xml,74.1KB,75926,,,2026-02-25T22:50:52
grobid_tei,grobid_tei/01-Hopegoing_ Animist metaphor as deferred hope in Yaa Gyasi_s Homegoing.tei.xml,64.4KB,65901,,,2026-02-25T22:50:54
grobid_tei,grobid_tei/01-Liberated territory_ on the poetry and pedagogy of Tongo Eisen-Martin.tei.xml,64.4KB,65981,,,2026-02-25T22:50:57
grobid_tei,grobid_tei/01-Mahb_bperest_ uranist and transvestite_ translating sexology in the Late Ottoman Empire and Ea.tei.xml,147.8KB,151334,,,2026-02-25T22:51:00
grobid_tei,grobid_tei/01-_The Origin of Everything__ Sex Against Social Convention in Sally Rooney_s Normal People and .tei.xml,66.2KB,67785,,,2026-02-25T22:51:03
grobid_tei,grobid_tei/02-Jeanette Winterson_s The Gap of Time in the Caesura of the Time That is Left.tei.xml,71.4KB,73130,,,2026-02-25T22:51:05
grobid_tei,grobid_tei/02-Self-perception_ laws and identities. Restricting the relevance of psy knowledge among sex-dis.tei.xml,74.2KB,75995,,,2026-02-25T22:51:07
grobid_tei,grobid_tei/02-Slow comics_ resource extraction in graphic narrative.tei.xml,57.5KB,58908,,,2026-02-25T22:51:09
grobid_tei,grobid_tei/02-Spatiality_ Fugitivity_ and _Black Livingness_ in Harriet Jacobs_s Incidents in the Life of a .tei.xml,102.3KB,104734,,,2026-02-25T22:51:12
grobid_tei,grobid_tei/02-To hope or to weep_ Slow hope in Rohan Chakravarty_s green humour series.tei.xml,69.8KB,71525,,,2026-02-25T22:51:15
grobid_tei,grobid_tei/03-Beowulf_ the Nibelungenlied_ and the Medieval Germanic Courtier Narrative.tei.xml,81.2KB,83176,,,2026-02-25T22:51:17
grobid_tei,grobid_tei/03-Ethics and Identity in David Albahari_s Bait_ A Ric_urian Reading.tei.xml,85.6KB,87660,,,2026-02-25T22:51:20
grobid_tei,grobid_tei/03-Neuralink and the rise of psychopolitical governmentality.tei.xml,96.5KB,98775,,,2026-02-25T22:51:23
grobid_tei,grobid_tei/03-The cultural politics of Canto 49 by Ezra Pound. A historical re-evaluation.tei.xml,61.3KB,62721,,,2026-02-25T22:51:25
grobid_tei,grobid_tei/03-Transnational hauntings_ A reparative reading of ghosts and weak rootedness in Zen Cho_s ____ .tei.xml,62.0KB,63523,,,2026-02-25T22:51:27
grobid_tei,grobid_tei/04-Hieroglyphic Matter in Bacon_s New Atlantis.tei.xml,81.5KB,83443,,,2026-02-25T22:51:30
grobid_tei,grobid_tei/04-Living in Endtimes_ Countersentimental Domesticity in the Age of Uncertainty.tei.xml,61.3KB,62808,,,2026-02-25T22:51:32
grobid_tei,grobid_tei/04-The alienation of Valerii Pereleshin.tei.xml,76.4KB,78260,,,2026-02-25T22:51:35
grobid_tei,grobid_tei/04-_Let us tend this garden together__ Postcolonial time travel in Ng Yi-Sheng_s _Garden_.tei.xml,81.4KB,83366,,,2026-02-25T22:51:37
grobid_tei,grobid_tei/04-_We_re on a journey__ antiracist discourse in British development and humanitarian INGOs.tei.xml,97.9KB,100260,,,2026-02-25T22:51:40
grobid_tei,grobid_tei/05-Ante-victimhood of Atomic Bombing_ Inter-imperiality and Gender in Jackie Copleton_s A Diction.tei.xml,88.7KB,90861,,,2026-02-25T22:51:43
grobid_tei,grobid_tei/05-Crisis Extraordinariness_ Vibrant Relations in Michael Christie_s Greenwood.tei.xml,83.3KB,85327,,,2026-02-25T22:51:46
grobid_tei,grobid_tei/05-Indeed_ This Is How It Was_ Brother_ by Ali Shariati.tei.xml,61.9KB,63421,,,2026-02-25T22:51:48
