file_stem,INTRO_mtld,INTRO_sentence_length,BODY_mtld,BODY_sentence_length,DISCUSSION_mtld,DISCUSSION_sentence_length,CONCLUSION_mtld,CONCLUSION_sentence_length,OTHER_mtld,OTHER_sentence_length
00-Metaphorical Traits of the Language of the COVID-19 Pandemic_ A Short-Term Diachronic Study,80.77861045481393,30.454545454545453,,,,,77.14277023944304,30.545454545454547,49.99508192824588,19.355630038694397
00-On tokens and tokenisation_ a conjunctural approach to thinking GenAI in the Humanities classr,,,,,,,,,74.1462584902281,35.75009531590414
00-The Pattern Nexus_ Postdigital Aesthetics_ Technoscience and Mysticism in Tom McCarthy_s The M,100.77881665511215,35.73076923076923,,,,,92.70217917675545,29.333333333333332,85.8993199716555,20.592433712121213
00-Toxic intimacies_ Tawada Y_ko_s The Emissary as Counternarrative to Japan_s nuclear and enviro,99.40733463798917,30.25925925925926,,,,,108.20940277161694,33.333333333333336,86.89544383500343,22.873769202556108
00-_I made no sound at all__ Exploring Indonesia_s collective trauma in Saman and Enrico_s Love S,138.28195917075487,28.5,,,,,,,92.5622673340217,21.987494754987015
01-Apple Trees and Plastic Ducks_ Gardens as Post-pastoral Landscapes in Contemporary British Fic,,,,,,,,,77.57480389220417,21.678717320261438
01-Hopegoing_ Animist metaphor as deferred hope in Yaa Gyasi_s Homegoing,,,,,,,93.78947368421052,23.88888888888889,94.69063893059389,25.452463409606263
01-Liberated territory_ on the poetry and pedagogy of Tongo Eisen-Martin,,,,,,,75.46660515124769,26.444444444444443,84.70765377103618,27.752279862937286
01-Mahb_bperest_ uranist and transvestite_ translating sexology in the Late Ottoman Empire and Ea,93.69793826912226,36.0,,,,,138.23955431754874,38.0,100.06026777079052,30.783294129422952
01-_The Origin of Everything__ Sex Against Social Convention in Sally Rooney_s Normal People and ,100.35125277260522,29.06896551724138,,,,,100.41459503171055,24.5,76.14408690737794,19.007478632478634
02-Jeanette Winterson_s The Gap of Time in the Caesura of the Time That is Left,,,,,,,,,48.678309387982715,21.250340136054422
02-Self-perception_ laws and identities. Restricting the relevance of psy knowledge among sex-dis,75.56748627274925,36.61538461538461,,,,,89.06213718411553,29.941176470588236,76.0946624417065,28.139210040605388
02-Slow comics_ resource extraction in graphic narrative,,,,,,,,,100.62220998921826,32.38508158508158
02-Spatiality_ Fugitivity_ and _Black Livingness_ in Harriet Jacobs_s Incidents in the Life of a ,,,,,,,,,82.1137083772213,28.288029670520555
02-To hope or to weep_ Slow hope in Rohan Chakravarty_s green humour series,,,,,,,71.39617991373999,26.22222222222222,120.81532241748107,23.279077244594486
03-Beowulf_ the Nibelungenlied_ and the Medieval Germanic Courtier Narrative,96.87636481506756,29.333333333333332,,,92.62809023653409,23.742574257425744,109.00240577385725,36.0,108.9906409226108,21.767591783216783
03-Ethics and Identity in David Albahari_s Bait_ A Ric_urian Reading,101.36904761904762,35.388888888888886,,,,,76.34280116399701,30.454545454545453,76.74544309486157,24.560749050986743
03-Neuralink and the rise of psychopolitical governmentality,106.2149871791159,22.27777777777778,,,,,111.2741270652359,31.0,81.87276938986152,22.73403317602096
03-The cultural politics of Canto 49 by Ezra Pound. A historical re-evaluation,,,,,,,84.6280429594272,33.57142857142857,83.97785491411412,23.250498283630122
03-Transnational hauntings_ A reparative reading of ghosts and weak rootedness in Zen Cho_s ____ ,121.91060876318056,29.243243243243242,,,,,153.81092066146414,31.22222222222222,79.2575891276643,20.935132850241548
04-Hieroglyphic Matter in Bacon_s New Atlantis,,,,,,,,,85.14654945478465,28.360913860581814
04-Living in Endtimes_ Countersentimental Domesticity in the Age of Uncertainty,112.90421340811966,28.103448275862068,,,,,112.75885885885884,24.0,103.88419812527971,23.17471110746973
04-The alienation of Valerii Pereleshin,,,,,,,,,43.35916540857292,15.68331939799331
