file,authors,journal_label,cluster
00-Metaphorical Traits of the Language of the COVID-19 Pandemic_ A Short-Term Diachronic Study.pdf,Ljubica Leone,English Studies,5
00-On tokens and tokenisation_ a conjunctural approach to thinking GenAI in the Humanities classr.pdf,Niall Martin,"Culture, Theory and Critique",9
00-The Pattern Nexus_ Postdigital Aesthetics_ Technoscience and Mysticism in Tom McCarthy_s The M.pdf,Stephan Besser,UNKNOWN,9
00-Toxic intimacies_ Tawada Y_ko_s The Emissary as Counternarrative to Japan_s nuclear and enviro.pdf,Jerrine Tan; Franny Choi,Textual Practice,9
00-_I made no sound at all__ Exploring Indonesia_s collective trauma in Saman and Enrico_s Love S.pdf,Silvia Mayasari-Hoffert; Department of Southeast Asian Studies Goethe-Universität Frankfurt am Main Frankfurt am Main Germany; Department of Southeast Asian Studies Goethe-Universität Frankfurt am Main Rostocker Straße 2 60323 Frankfurt am Main Germany,Journal of Postcolonial Writing,9
01-Apple Trees and Plastic Ducks_ Gardens as Post-pastoral Landscapes in Contemporary British Fic.pdf,"Silvia Rosivalova Baucekova; English Studies; Department of British and American Studies Pavol Jozef Šafárik University Košice Slovakia; Silvia Rosivalova Baucekova; Alfrey, Daniels, and Postle Art of the Garden 9. 3 Ibid; Office for National Statistics, ""One in Eight British Households Has No Garden",English Studies,9
01-Hopegoing_ Animist metaphor as deferred hope in Yaa Gyasi_s Homegoing.pdf,Jay Rajiva,Journal of Postcolonial Writing,9
01-Liberated territory_ on the poetry and pedagogy of Tongo Eisen-Martin.pdf,Thomas Allen; Tongo Eisen-Martin,Textual Practice,9
01-Mahb_bperest_ uranist and transvestite_ translating sexology in the Late Ottoman Empire and Ea.pdf,Ezgi Sarıtaş,"Culture, Theory and Critique",0
01-_The Origin of Everything__ Sex Against Social Convention in Sally Rooney_s Normal People and .pdf,Genevieve Couvret,UNKNOWN,9
02-Jeanette Winterson_s The Gap of Time in the Caesura of the Time That is Left.pdf,Tatiana Golban,Critique: Studies in Contemporary Fiction,9
02-Self-perception_ laws and identities. Restricting the relevance of psy knowledge among sex-dis.pdf,Romina Del Monaco; María Epele,"Culture, Theory and Critique",2
02-Slow comics_ resource extraction in graphic narrative.pdf,Jeffrey Mather,Textual Practice,9
02-Spatiality_ Fugitivity_ and _Black Livingness_ in Harriet Jacobs_s Incidents in the Life of a .pdf,Tuire Valkeakari,English Studies,9
02-To hope or to weep_ Slow hope in Rohan Chakravarty_s green humour series.pdf,Arundhathi Baburaj; Girish D Pawar; Department of English University of Hyderabad Hyderabad India; Department of English School of Humanities University of Hyderabad 500046 Hyderabad India; Arundhathi Baburaj http://orcid 0009-0002-3933-6444 Girish D. Pawar,Journal of Postcolonial Writing,0
03-Beowulf_ the Nibelungenlied_ and the Medieval Germanic Courtier Narrative.pdf,Leonard Neidorf,English Studies,8
03-Ethics and Identity in David Albahari_s Bait_ A Ric_urian Reading.pdf,Raúl Algarín,Critique: Studies in Contemporary Fiction,9
03-Neuralink and the rise of psychopolitical governmentality.pdf,Sergi Parellada Guillamón; Ana Gálvez Mozo; Francisco Tirado Serrano,"Culture, Theory and Critique",0
03-The cultural politics of Canto 49 by Ezra Pound. A historical re-evaluation.pdf,Roxana Preda,Textual Practice,9
03-Transnational hauntings_ A reparative reading of ghosts and weak rootedness in Zen Cho_s ____ .pdf,Kam Tou Pang,Journal of Postcolonial Writing,9
04-Hieroglyphic Matter in Bacon_s New Atlantis.pdf,Katrina L Spadaro; English Studies,English Studies,9
04-Living in Endtimes_ Countersentimental Domesticity in the Age of Uncertainty.pdf,Raili Marling,Critique: Studies in Contemporary Fiction,9
04-The alienation of Valerii Pereleshin.pdf,Caio Yurgel,Textual Practice,9
04-_Let us tend this garden together__ Postcolonial time travel in Ng Yi-Sheng_s _Garden_.pdf,Zhui Ning,Journal of Postcolonial Writing,9
04-_We_re on a journey__ antiracist discourse in British development and humanitarian INGOs.pdf,Kamna Patel,"Culture, Theory and Critique",6
05-Ante-victimhood of Atomic Bombing_ Inter-imperiality and Gender in Jackie Copleton_s A Diction.pdf,"Hui Ngoi; Chien; Vandana Saxena; English Studies; Maloney, ""Universal Horror of Atomic Weapons"" para. 4",English Studies,0
05-Crisis Extraordinariness_ Vibrant Relations in Michael Christie_s Greenwood.pdf,Eva Darias-Beautell,Critique: Studies in Contemporary Fiction,9
05-Indeed_ This Is How It Was_ Brother_ by Ali Shariati.pdf,Abolfazl Ahangari,Journal of Postcolonial Writing,9
05-Network_ed_ confession_ disidentification_ digitality_ and the politics of self-representation.pdf,Max Shirley,Textual Practice,0
05-Technical imagining_ dispelling AI figments of the generative machine learning imagination.pdf,Erika Kerruish,"Culture, Theory and Critique",0
06-Breaking the line_ Wong May_s postcolonial and exophonic Chinese mobilities.pdf,Ann Ang,Journal of Postcolonial Writing,0
06-Orbital Gaze_ Earthly Wounds_ Reading Samantha Harvey_s Orbital as Planetary Fiction.pdf,Qi Xue; Yuan Yuan; College of Foreign Languages University of Shanghai for Science and Technology Shanghai China; College of Foreign Languages University of Shanghai for Science and Technology 200093 Shanghai China,Critique: Studies in Contemporary Fiction,0
06-The Narrative Perfect and Past Perfective_ Evidence from the Diary of Samuel Pepys.pdf,Vladimir Bondar,English Studies,4
06-_A pale view of self__ the limits of knowing and mourning in Kazuo Ishiguro_s A Pale View of H.pdf,Zengjing Li,Textual Practice,0
06-_Verbi-voco-visual explorations__ information and the object of poetry between McLuhan and Ben.pdf,Tobias Wilke,"Culture, Theory and Critique",2
07-Affect_ Evolution_ and Reparation_ AI Self-Sacrifice in Klara and the Sun.pdf,Meixuan Li,Critique: Studies in Contemporary Fiction,9
07-Communities of Writing_ The Main Scribes of National Library of Wales_ Brogyntyn ii.1.pdf,María José Carrillo-Linares; English Studies,English Studies,9
07-Grossed out by environmental breakdown_ Disgust as a literary device within Capitalocene cri-f.pdf,Agnethe Brounbjerg Bennedsgaard,Textual Practice,9
07-Shifting the ground beneath Singapore literature_ Archipelagic thinking in Isa Kamari_s Rawa a.pdf,Angelia Poon,Journal of Postcolonial Writing,9
07-_Where is the friend_s house___ Intimacy_ Spatiality_ and _post-_Ottoman Legacies in Sait Faik.pdf,Kutay Onaylı,"Culture, Theory and Critique",8
08-An alter-native cultural imaginary of Brunei Darussalam in Tina Afiqah_s The Bubble Princess a.pdf,Hannah M Y Ho; Faculty of Arts and Social Sciences University of Brunei Darussalam Gadong Brunei; Faculty of Arts and Social Sciences University of Brunei Darussalam Gadong Brunei,Journal of Postcolonial Writing,0
08-Form After the Internet Novel_ The Hermeneutics of Digital Ekphrasis.pdf,Julia Straub,Critique: Studies in Contemporary Fiction,0
08-Masculinity_ the Environment and the Phenomenology of the Body in Beowulf.pdf,Jacek Olesiejko,English Studies,0
08-The Jim Crow railroad bildungsroman.pdf,Henry Ivry,Textual Practice,9
08-Women in the closet in Peyami Safa_ homonationalism as an analytical category to read early re.pdf,Seval Şahin,"Culture, Theory and Critique",0
09-An independent and unconventional character_ Fikriye_ _Everybody_s Woman_.pdf,Ali Serdar,"Culture, Theory and Critique",9
09-Cohesion_ Exile_ Return_ Non-Human Narrative and the Shape of Diaspora Community in Never Let .pdf,Ziyang Li,Critique: Studies in Contemporary Fiction,9
09-Louise Gl_ck_s Averno_ A Feminist Reception of the Myth of Persephone.pdf,Cristina Salcedo González,English Studies,0
09-Of barren lands and broken promises_ Writing social change in Kourouma_s Suns of Independence .pdf,Omotayo Jemiluyi,Journal of Postcolonial Writing,0
09-War_ widowhood_ and maternal grief in Jacob_s Room.pdf,Jarica Linn Watts,Textual Practice,0
10-Critique of Australia_s Bicentennial Moment in John Forbes_s The Stunned Mullet.pdf,Simon Eales,Journal of Postcolonial Writing,0
10-Manners_ Morals_ and Happiness_ Negotiating Balance in Sense and Sensibility.pdf,Zhongliang Shen; Jane Austen,English Studies,9
10-Scaling up the Capitalocene_ paratexts_ storyworld_ and climate change in New York 2140.pdf,Hongri Wang; Kim Stanley Robinson; David Harvey; Department of English Tongji University Shanghai People's Republic of China; The Condition of Postmodernity; Hongri Wang; Department of Literary Studies Ghent University Belgium; TEXTUAL PRACTICE; Hongri Wang,Textual Practice,9
10-THE _DERMOGROTESQUE_ BODY_ ACNE_ ALIENATION_ AND AESTHETICS IN BUKOWSKI_S HAM ON RYE.pdf,Vipin Chauhan,Critique: Studies in Contemporary Fiction,0
10-When the queen of transvestites revealed it all_ Performative politics of queer life writing i.pdf,Rüstem Ertuğ Altınay,"Culture, Theory and Critique",0
11-A Possible Way Out_ The Paradox of the Multitude in Cloud Atlas and Slade House.pdf,"Hua Tan; Siyu Cao; David Mitchell; David Mitchell "" English Studies; School of English Studies Shanghai International Studies University Shanghai People's Republic of China; O'Donnell A Temporary Future The Fiction of David Mitchell 83-7",English Studies,9
11-Cybernetics_ or the metatechnology of a machine.pdf,Max Bense; Kurt Beals; Lea Pao; Leif Weatherby,"Culture, Theory and Critique",9
11-Oceans_ hormones and female flow in Twelfth Night.pdf,Elizabeth Mazzola,Textual Practice,9
11-Orality and the subaltern_ Anticolonial resistance in Rosario Cruz-Lucero_s Feast and Famine_ .pdf,"Aimee S Farah; Virador-Cagayan; Department of Humanities University of the Philippines Mindanao Davao Philippines; University of the Philippines Mindanao Tugbok Dist Brgy Mintal, Davao del Sur 8000 Philippines",Journal of Postcolonial Writing,0
11-Relational Time_ Female Transgenerational Bonds and Herstory in Linda Grant_s The Story of the.pdf,Silvia Pellicer-Ortín,Critique: Studies in Contemporary Fiction,9
12-H_seyin Rahmi_s queer hauntology_ _Un-_making of the secular nation_state_self.pdf,Emre Keser,"Culture, Theory and Critique",9
12-Membrane_ a poetics of the border.pdf,Emily Mcavan,Textual Practice,9
12-Promised lands and paradisiacal gardens in Zo_ Wicomb_s David_s Story.pdf,Cleo Beth Theron; Department of English Stellenbosch University Stellenbosch South Africa; Department of English Stellenbosch University Stellenbosch South Africa,Journal of Postcolonial Writing,9
12-The Oracle_ the Plague_ and the Mystery of Oedipus_ Identity in Natalie Haynes_ The Children o.pdf,Xiuchun Zhang,English Studies,0
12-Ways of Being Male_ Masculinities as Allegories in Yu Hua_s Brothers.pdf,"Lisa Chu Shen; Miao Li; Shanghai International Studies University 1550 Wenxiang Road, Songjiang Campus 201620 Shanghai China",Critique: Studies in Contemporary Fiction,9
13-Caste and internal labour migrations_ Exploring subaltern social geographies in Aravind Adiga_.pdf,Swatee Sinha,Journal of Postcolonial Writing,9
13-Dangerous bodies_ a corrupted tongue_ tracing the queer Persianate in late Ottoman literature.pdf,Erik Blackthorne-O'barr,"Culture, Theory and Critique",8
13-The Tragedy of Alignment_ Machinic Consistency and the Failure of Human Relations in Ian McEwa.pdf,Paul James Butler,Critique: Studies in Contemporary Fiction,9
13-The Workings of Affect in Lucy Caldwell_s Where They Were Missed.pdf,"Asier Altuna-García De Salazar; María J Pando-Canteli; English Studies; Department of Social and Human Sciences University of Deusto Bilbao Spain; Asier Altuna-García de Salazar; The Politics of Memory Post-Agreement Northern Irish Literature Northern Irish Writing, 16. 5 Lundy and McGovern, "" 27-8. 6 Magennis, Northern Irish Writing, 3. 7 Heidemann Magennis",English Studies,2
13-_The Ralahine way__ the rural commune in the writings of Irish radical W.P. Ryan.pdf,Niall Ó Cuileagáin; William Patrick,Textual Practice,9
14-Against straight-forwardness_ Literary twists and queer communality in Shani Mootoo_s Moving F.pdf,Tom Lockwood-Moran,Journal of Postcolonial Writing,9
14-From Postcolonialism to Cosmopolitanism_ Reading Timothy Mo_s Thematic Shift and Its Resonance.pdf,"Yifan Jin; Timothy Mo; See Rothfork; "" Confucianism; Timothy Mo's Sour Sweet; "" Ramraj; Wijesinha; Timothy Mo'; English Studies; Department of Chinese (Zhuhai) Sun Yat-sen University Zhuhai People's Republic of China; Ho Timothy Mo",English Studies,0
14-Narrating Panarchy in the Anthropocene_ The Adaptive _Short Story_ Cycle in Rebecca Campbell_s.pdf,Ana María Fraile-Marcos,Critique: Studies in Contemporary Fiction,0
14-Reading for the future_ _stanbul Ansiklopedisi_ a collection without origin.pdf,Müge Özoğlu,"Culture, Theory and Critique",9
14-_THIS IS A PAID ADVERTISEMENT__ advertising poetics in Yugen.pdf,Lily Middleton-Mansell,Textual Practice,0
15-Bald krumme Linien_ generative aesthetics and the Bensian legacy.pdf,Grant D Taylor,"Culture, Theory and Critique",0
15-Fiction_s critique_ Gray_s Poor Things and the conduct of sensibility.pdf,Timothy O'leary,Textual Practice,3
15-Religious Hypocrisy and Moral Failure in James Baldwin_s Go Tell It on the Mountain and Khaled.pdf,Nouh Alguzo,Critique: Studies in Contemporary Fiction,0
15-Writing and translating across power differentials_ Paratextual _re_framing of three Chinese d.pdf,Xiaoyan Tan,Journal of Postcolonial Writing,0
15-_Aiding the Greek Rebel Infidels__ Insights from the Ottoman Archives on Lord Byron_s Missolon.pdf,Hüseyin Alhas; Yiğit Sümbül; English Studies,English Studies,9
16-Information poetics_ communication and combinatorics in concrete poetry.pdf,Kurt Beals,"Culture, Theory and Critique",9
16-The hopeful possibilities of _sideways_ time_ Louise Erdrich_s Future Home of the Living God.pdf,Amanda Lagji; Department of English and World Literature Pitzer College Claremont CA USA; Department of English and World Literature Pitzer College 1050 N Mills Ave Claremont CA USA,Journal of Postcolonial Writing,9
16-Tom McCarthy_ The Making of Incarnation_ and the Infrastructure of Virtuality.pdf,Tom Mccarthy; Jihuan Yu,English Studies,0
16-Untwining the Threads in John Banville_s Birchwood_ False Shadows_ Bogus Plots and What Lies B.pdf,Irena Księżopolska,Critique: Studies in Contemporary Fiction,9
16-Women petrified_ how and when women turn to stone from Shakespeare to Byatt.pdf,Alice Langley,Textual Practice,9
17-Care_ critique_ and contemporary literature_ the offerings of Sarah Moss_s Tidal Zone.pdf,Miriam Nandi,Textual Practice,0
17-Entropy_ melody_ beauty_ composing with information theory.pdf,Thomas Patteson,"Culture, Theory and Critique",9
17-The Self and Its Social_Ecological Other in E. M. Forster_s Howards End_ An Allergic Reading.pdf,Khanh Nguyen,English Studies,9
17-_We_re Still Inside the Fucking paradigm___ Flagging the Crisis of Attention in Eleanor Catton.pdf,Bárbara Arizti,Critique: Studies in Contemporary Fiction,9
18-A site for self-fashioning_ everyday life_ expatriate women_ and formative locale in Ann Bridg.pdf,Yuzhu Sun,Textual Practice,9
18-Monstrous Reproduction_ Monstrous Evolution_ and Extinction Anxiety in Steve Alten_s MEG Books.pdf,Michael Fuchs; Michael Phillips; Department of American Studies Universitat Innsbruck Innrain 52d 6020 Innsbruck Austria,Critique: Studies in Contemporary Fiction,0
18-New Evidence About The Strolling Actor George Jolly _1613_ca. 1683_.pdf,J P Vander Motten,English Studies,9
19-Disneyland and Its Discontents_ J.G. Ballard and the Commodification of Dissent.pdf,Marcin Tereszewski,Critique: Studies in Contemporary Fiction,9
19-Revisiting OE holm-wudu in The Dream of the Rood_ The Salvific Ship and the Name of Mary.pdf,Yinghan Li; English Studies,English Studies,0
19-_Words without meaning__ deconstructing language and the Woolfian Saying in Between the Acts.pdf,Seokyeong Choi,Textual Practice,0
20-Echoes of Silence and the Story of Many_ The Transmission of Intergenerational Trauma in Eliza.pdf,Gülden Yüksel,English Studies,0
20-Metabolic Dystopia in Mo Yan_s The Republic of Wine.pdf,Qianlan Zhang; Hong Zeng; Department of Foreign Languages Southwest Jiaotong University Chengdu China; CONTACT Hong Zeng; Department of Foreign Languages Southwest Jiaotong University Chengdu China,Critique: Studies in Contemporary Fiction,0
20-Reimagining refuge_ dual landscapes and the covert narrative of ecological belonging in Terry .pdf,Yang Lingli,Textual Practice,0
21-Haunted Laughter_ Spectral Justice and Satirical Memory in Percival Everett_s The Trees.pdf,"Mohammad Rahmatullah; Abu Sayed; Shamim Mondol; Department of English Daffodil International University; Daffodil Smart City (DSC) 1216 Birulia, Savar Dhaka Bangladesh",Critique: Studies in Contemporary Fiction,9
21-The Revitalized Tudor and Chiron Myths in the Henriad_ Reviewing Shakespeare as a Historiograp.pdf,Junwu Tian; Mingyi Wang,English Studies,0
21-To body or not to body__ Gender performativity and posthumanism in the actor-network of Jeanet.pdf,Senne Van Der Zijden,Textual Practice,9
22-Civilizationism_ Secularism_ and Irony in Patience Agbabi_s _Joined-Up Writing_.pdf,Cynthia Quarrie; Stephen M Yeager; English Department Concordia University Montreal QC Canada; A Short Media History of English Literature 55 Berensmeyer,English Studies,9
22-Navigating neurotechnology and astrobiology in Richard Powers_s Bewilderment.pdf,Karen Ya; Chu Yang; Department of Foreign Languages and Literatures National Yang Ming Chiao Tung University Hsinchu City Taiwan; Department of Foreign Languages and Literatures National Yang Ming Chiao Tung University No. 1001 Daxue Rd. East District Hsinchu City 300 Taiwan,Critique: Studies in Contemporary Fiction,9
22-The significance of Osip Mandelstam for Paul Celan.pdf,Tania Ganitsky,Textual Practice,1
23-Empathy_ curiosity_ and critique_ an AI-assisted mapping of non-academic reception of Asian Am.pdf,"Shuyue Liu; Changkang Li; School of Cultures, Languages and Area Studies University of Nottingham Nottingham UK",Textual Practice,0
23-Practical Alienation_ George Eliot_s Philosophical Experiments in Silas Marner _1861_.pdf,Rui Qian; George Haight; Eliot; George Ashton; George Nestor,English Studies,0
23-Scalar Anglosphere_ Wasteocene Waters and Vulnerable Bodies in Chioma Okereke_s Water Baby.pdf,Julia Kuznetski,Critique: Studies in Contemporary Fiction,9
24-Revisiting Soft Power Through the Translation of Chinese Science Fiction_ A Non-Confrontationa.pdf,"Xiaorui Wang; Yuqi Hu; College of Foreign Studies Jinan University No.601, Huangpu Avenue West Tianhe, Guangzhou China",Critique: Studies in Contemporary Fiction,0
24-Staging the state of exception_ William le Queux and the campaign for emergency powers in Brit.pdf,Jago Morrison,Textual Practice,9
24-The Mother-Daughter Plot in Toni Morrison_s God Help the Child.pdf,Paula Martín-Salván,English Studies,0
25-Forgetting to remember_ Amnesia as Metaphor in Chinese North American Literature.pdf,Fang Tang,Critique: Studies in Contemporary Fiction,0
25-Special Worlds_ Pastoral Elegy in Stephen Sexton_s If All the World and Love Were Young.pdf,Iain Twiddy,English Studies,7
25-Surviving marriage narratively. Storytelling through women_s friendships in Mary McCarthy_s Th.pdf,Miriam Schwarz; Mary Mccarthy,Textual Practice,9
26-Event_ Catastrophe and Crisis in Don DeLillo_s The Silence_ _The Wrong Kind of Normal_.pdf,Paula Martín-Salván,Critique: Studies in Contemporary Fiction,9
26-Paratextual Mediation and Narrative Reconstruction_ An Analysis of Footnotes in Sydney Owenson.pdf,Jingxuan Yi,English Studies,0
26-Wilde avec Foucault_ technologies of the self in Epistola.pdf,Nidesh Lawtoo; Oscar Wilde; Profundis ; De; Michel Foucault; Pierre Hadot,Textual Practice,9
27-Understanding Russell Atkins_s Poetry through His Plays.pdf,Xiuxia Chen; Lauri Scheyer,English Studies,9
27-Why Britain Chooses Brexit_ Post-Imperial Affects in Julian Barnes_ Fiction and Brexlits.pdf,Xiaochen Xin,Critique: Studies in Contemporary Fiction,0
27-_Sweet Mephistopheles_ tell me__ desire between the scholar and the devil in Christopher Marlo.pdf,Yuri Suzuki,Textual Practice,9
28-The Sandcastle_ _investiture of freedom_ in Levinas and disciplined freedom in Murdoch.pdf,S P Lee,Textual Practice,9
28-_We_re All Just Playing into Stories Created Before Our Time__ Fictional Female Serial Killers.pdf,Eleanore Gardner; School of Social Work and Arts Charles Sturt University Albury Australia; School of Social Work and Arts Charles Sturt University PO Box 789 2640 Albury NSW Australia,Critique: Studies in Contemporary Fiction,9
28-__It_s Growl You May_ But go You Must__ The Untapped Potential of the Sailor_s Chantey_.pdf,Jessica M Floyd; English Studies,English Studies,8
29-Anthropomorphism in Professional Crocodile and Agamben_s _man-animal_.pdf,Yuna Nam,Textual Practice,9
29-Lateral Composition and Posthuman Community in Kazuo Ishiguro_s Klara and the Sun.pdf,Zhang Xiuli,Critique: Studies in Contemporary Fiction,9
29-_By Any Means Necessary__ Corporate Capitalism and Pathological Narcissism in Gary Shteyngart_.pdf,Martín Urdiales-Shaw,English Studies,9
