file_stem,sec_Abstract_total_words,sec_Abstract_total_sentences,sec_Abstract_avg_sentence_len,sec_Abstract_median_sentence_len,sec_Abstract_sd_sentence_len,sec_Abstract_sent_gt_40_count,sec_Abstract_sent_lt_12_count,sec_Abstract_sent_gt_40_pct,sec_Abstract_sent_lt_12_pct,sec_Abstract_sentence_bin_counts,sec_Abstract_semicolons_total,sec_Abstract_colons_total,sec_Abstract_double_dashes_total,sec_Abstract_mtld,sec_Abstract_word_share,sec_Introduction_total_words,sec_Introduction_total_sentences,sec_Introduction_avg_sentence_len,sec_Introduction_median_sentence_len,sec_Introduction_sd_sentence_len,sec_Introduction_sent_gt_40_count,sec_Introduction_sent_lt_12_count,sec_Introduction_sent_gt_40_pct,sec_Introduction_sent_lt_12_pct,sec_Introduction_sentence_bin_counts,sec_Introduction_semicolons_total,sec_Introduction_colons_total,sec_Introduction_double_dashes_total,sec_Introduction_mtld,sec_Introduction_word_share,sec_Argument_total_words,sec_Argument_total_sentences,sec_Argument_avg_sentence_len,sec_Argument_median_sentence_len,sec_Argument_sd_sentence_len,sec_Argument_sent_gt_40_count,sec_Argument_sent_lt_12_count,sec_Argument_sent_gt_40_pct,sec_Argument_sent_lt_12_pct,sec_Argument_sentence_bin_counts,sec_Argument_semicolons_total,sec_Argument_colons_total,sec_Argument_double_dashes_total,sec_Argument_mtld,sec_Argument_word_share,sec_Framework_total_words,sec_Framework_total_sentences,sec_Framework_avg_sentence_len,sec_Framework_median_sentence_len,sec_Framework_sd_sentence_len,sec_Framework_sent_gt_40_count,sec_Framework_sent_lt_12_count,sec_Framework_sent_gt_40_pct,sec_Framework_sent_lt_12_pct,sec_Framework_sentence_bin_counts,sec_Framework_semicolons_total,sec_Framework_colons_total,sec_Framework_double_dashes_total,sec_Framework_mtld,sec_Framework_word_share,sec_Discussion_total_words,sec_Discussion_total_sentences,sec_Discussion_avg_sentence_len,sec_Discussion_median_sentence_len,sec_Discussion_sd_sentence_len,sec_Discussion_sent_gt_40_count,sec_Discussion_sent_lt_12_count,sec_Discussion_sent_gt_40_pct,sec_Discussion_sent_lt_12_pct,sec_Discussion_sentence_bin_counts,sec_Discussion_semicolons_total,sec_Discussion_colons_total,sec_Discussion_double_dashes_total,sec_Discussion_mtld,sec_Discussion_word_share,sec_Conclusion_total_words,sec_Conclusion_total_sentences,sec_Conclusion_avg_sentence_len,sec_Conclusion_median_sentence_len,sec_Conclusion_sd_sentence_len,sec_Conclusion_sent_gt_40_count,sec_Conclusion_sent_lt_12_count,sec_Conclusion_sent_gt_40_pct,sec_Conclusion_sent_lt_12_pct,sec_Conclusion_sentence_bin_counts,sec_Conclusion_semicolons_total,sec_Conclusion_colons_total,sec_Conclusion_double_dashes_total,sec_Conclusion_mtld,sec_Conclusion_word_share
00-Metaphorical Traits of the Language of the COVID-19 Pandemic_ A Short-Term Diachronic Study,245,15,15.666666666666666,19.0,13.823720125032846,0,7,0.0,0.4666666666666667,"{""31_40"": 3, ""lt12"": 7, ""21_30"": 3, ""12_20"": 2}",0,6,0,65.17152895082583,0.034376315420232915,670.0,22.0,30.045454545454547,30.0,11.298871720862316,3.0,2.0,0.13636363636363635,0.09090909090909091,"{""21_30"": 8, ""31_40"": 7, ""12_20"": 2, ""lt12"": 2, ""41_50"": 3}",0.0,1.0,0.0,80.77861045481393,0.09400869931247369,5870,213,26.8075117370892,28.0,14.524395220290302,32,38,0.15023474178403756,0.1784037558685446,"{""lt12"": 38, ""21_30"": 65, ""31_40"": 58, ""12_20"": 20, ""41_50"": 22, ""gt50"": 10}",6,17,0,64.0262212946572,0.8236284551704784,3.0,1.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,"{""lt12"": 1}",0.0,0.0,0.0,3.0,0.0004209344745334643,3.0,1.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,"{""lt12"": 1}",0.0,0.0,0.0,3.0,0.0004209344745334643,336.0,12.0,27.666666666666668,29.0,11.056329600840607,1.0,1.0,0.08333333333333333,0.08333333333333333,"{""12_20"": 2, ""41_50"": 1, ""21_30"": 4, ""31_40"": 4, ""lt12"": 1}",1.0,0.0,0.0,77.14277023944304,0.047144661147748
00-On tokens and tokenisation_ a conjunctural approach to thinking GenAI in the Humanities classr,372,12,30.833333333333332,29.0,11.328430311977618,2,0,0.16666666666666666,0.0,"{""12_20"": 2, ""21_30"": 5, ""31_40"": 3, ""41_50"": 1, ""gt50"": 1}",3,2,0,94.25,0.05344827586206897,,,,,,,,,,,,,,,,6588,177,37.056497175141246,36.0,20.317848600464874,72,21,0.4067796610169492,0.11864406779661017,"{""gt50"": 44, ""31_40"": 35, ""41_50"": 28, ""12_20"": 13, ""lt12"": 21, ""21_30"": 36}",1,16,0,74.74060852979252,0.946551724137931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-The Pattern Nexus_ Postdigital Aesthetics_ Technoscience and Mysticism in Tom McCarthy_s The M,190,5,38.0,20.0,37.3563916887057,1,0,0.2,0.0,"{""12_20"": 3, ""gt50"": 1, ""31_40"": 1}",2,1,0,93.26046286644731,0.02181901699586587,929.0,26.0,35.57692307692308,32.0,19.849782017791686,11.0,2.0,0.4230769230769231,0.07692307692307693,"{""31_40"": 4, ""12_20"": 4, ""gt50"": 5, ""41_50"": 6, ""21_30"": 5, ""lt12"": 2}",3.0,3.0,0.0,100.77881665511215,0.1066835094166284,6885,235,29.07659574468085,28.0,16.6254132108016,49,30,0.20851063829787234,0.1276595744680851,"{""12_20"": 30, ""31_40"": 49, ""41_50"": 31, ""21_30"": 77, ""lt12"": 30, ""gt50"": 18}",16,36,0,112.84241933173847,0.7906522737712448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,704.0,23.0,30.434782608695652,28.0,15.532447231394269,5.0,2.0,0.21739130434782608,0.08695652173913043,"{""21_30"": 10, ""gt50"": 2, ""41_50"": 3, ""31_40"": 5, ""lt12"": 2, ""12_20"": 1}",2.0,2.0,0.0,92.70217917675545,0.08084519981626091
00-Toxic intimacies_ Tawada Y_ko_s The Emissary as Counternarrative to Japan_s nuclear and enviro,204,6,33.5,31.0,6.59545297913646,1,0,0.16666666666666666,0.0,"{""21_30"": 3, ""31_40"": 2, ""41_50"": 1}",0,0,0,78.62103021232505,0.024294390853876385,817.0,25.0,32.12,26.0,19.279349919884055,6.0,0.0,0.24,0.0,"{""31_40"": 3, ""21_30"": 7, ""12_20"": 9, ""gt50"": 6}",0.0,0.0,0.0,99.40733463798917,0.09729665356675003,7076,253,27.52173913043478,26.0,17.783656938500588,61,47,0.24110671936758893,0.1857707509881423,"{""12_20"": 51, ""21_30"": 54, ""lt12"": 47, ""41_50"": 32, ""gt50"": 29, ""31_40"": 40}",6,22,0,99.70185734343448,0.842681910206026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.0,9.0,32.888888888888886,34.0,24.866867738239794,3.0,2.0,0.3333333333333333,0.2222222222222222,"{""31_40"": 3, ""gt50"": 2, ""21_30"": 1, ""lt12"": 2, ""41_50"": 1}",1.0,0.0,0.0,108.20940277161694,0.03572704537334762
00-_I made no sound at all__ Exploring Indonesia_s collective trauma in Saman and Enrico_s Love S,142,5,28.2,28.0,8.526429498916883,0,0,0.0,0.0,"{""31_40"": 2, ""21_30"": 2, ""12_20"": 1}",0,0,0,83.8910181061959,0.020811959548585664,1425.0,48.0,29.4375,29.0,11.853550056256152,7.0,1.0,0.14583333333333334,0.020833333333333332,"{""21_30"": 18, ""12_20"": 9, ""31_40"": 13, ""gt50"": 3, ""41_50"": 4, ""lt12"": 1}",5.0,4.0,0.0,138.28195917075487,0.20885241096291954,5256,211,24.687203791469194,22.0,11.524168279096672,20,24,0.0947867298578199,0.11374407582938388,"{""21_30"": 67, ""12_20"": 65, ""41_50"": 15, ""31_40"": 35, ""lt12"": 24, ""gt50"": 5}",6,36,0,120.93978073468483,0.7703356294884948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Apple Trees and Plastic Ducks_ Gardens as Post-pastoral Landscapes in Contemporary British Fic,152,6,25.166666666666668,26.5,7.909909396868378,0,0,0.0,0.0,"{""12_20"": 1, ""31_40"": 1, ""21_30"": 4}",0,0,0,114.8943415122684,0.02087338643229882,,,,,,,,,,,,,,,,7130,299,23.77257525083612,23.0,17.16623569813181,40,77,0.13377926421404682,0.25752508361204013,"{""12_20"": 54, ""41_50"": 23, ""31_40"": 61, ""lt12"": 77, ""gt50"": 17, ""21_30"": 67}",20,23,0,85.65368179241531,0.9791266135677011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Hopegoing_ Animist metaphor as deferred hope in Yaa Gyasi_s Homegoing,142,4,35.5,36.0,20.174241001832016,2,0,0.5,0.0,"{""21_30"": 1, ""gt50"": 1, ""41_50"": 1, ""12_20"": 1}",0,1,0,135.37025316455694,0.02098418797103591,,,,,,,,,,,,,,,,6410,230,27.8,26.0,14.370761193916502,40,24,0.17391304347826086,0.10434782608695652,"{""12_20"": 51, ""41_50"": 28, ""21_30"": 68, ""31_40"": 47, ""lt12"": 24, ""gt50"": 12}",15,20,0,107.64135680716878,0.9472439781291562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.0,9.0,23.88888888888889,23.0,8.608781046763305,0.0,1.0,0.0,0.1111111111111111,"{""21_30"": 5, ""31_40"": 2, ""12_20"": 1, ""lt12"": 1}",0.0,1.0,0.0,93.78947368421052,0.031771833899807894
01-Liberated territory_ on the poetry and pedagogy of Tongo Eisen-Martin,223,7,31.857142857142858,31.0,6.98638131005772,0,0,0.0,0.0,"{""12_20"": 1, ""31_40"": 4, ""21_30"": 2}",0,0,0,72.4754678806272,0.031470505221563645,,,,,,,,,,,,,,,,6387,236,26.978813559322035,27.0,14.904360930834347,40,37,0.1694915254237288,0.15677966101694915,"{""12_20"": 47, ""31_40"": 56, ""41_50"": 28, ""21_30"": 56, ""gt50"": 12, ""lt12"": 37}",6,27,0,84.91973311672481,0.901354784081287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,476.0,20.0,23.6,21.0,14.503720030972817,2.0,6.0,0.1,0.3,"{""31_40"": 7, ""lt12"": 6, ""41_50"": 2, ""12_20"": 4, ""21_30"": 1}",0.0,3.0,0.0,75.46660515124769,0.06717471069714931
01-Mahb_bperest_ uranist and transvestite_ translating sexology in the Late Ottoman Empire and Ea,204,7,29.142857142857142,31.0,5.956189257922424,0,0,0.0,0.0,"{""31_40"": 5, ""12_20"": 1, ""21_30"": 1}",0,0,0,75.0269783170138,0.020338983050847456,1980.0,61.0,31.75409836065574,34.0,13.418464564056151,18.0,5.0,0.29508196721311475,0.08196721311475409,"{""41_50"": 15, ""21_30"": 11, ""31_40"": 19, ""gt50"": 3, ""lt12"": 5, ""12_20"": 8}",22.0,5.0,0.0,93.69793826912226,0.19740777666999004,7390,268,26.705223880597014,27.0,14.69690184765916,48,41,0.1791044776119403,0.15298507462686567,"{""gt50"": 13, ""41_50"": 35, ""31_40"": 56, ""12_20"": 47, ""lt12"": 41, ""21_30"": 76}",35,11,0,102.39174160349131,0.7367896311066799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456.0,12.0,37.0,35.0,14.491376746189438,4.0,0.0,0.3333333333333333,0.0,"{""21_30"": 4, ""31_40"": 4, ""41_50"": 3, ""gt50"": 1}",3.0,2.0,0.0,138.23955431754874,0.04546360917248255
01-_The Origin of Everything__ Sex Against Social Convention in Sally Rooney_s Normal People and ,93,3,30.666666666666668,27.0,7.234178138070235,0,0,0.0,0.0,"{""31_40"": 1, ""21_30"": 2}",0,0,0,105.29166666666667,0.014608859566446749,843.0,30.0,28.0,29.5,11.468096676402338,3.0,3.0,0.1,0.1,"{""41_50"": 2, ""21_30"": 8, ""31_40"": 11, ""gt50"": 1, ""12_20"": 5, ""lt12"": 3}",0.0,0.0,0.0,100.35125277260522,0.13242224316682374,5087,196,25.846938775510203,26.0,15.088016668571921,28,34,0.14285714285714285,0.17346938775510204,"{""lt12"": 34, ""31_40"": 43, ""41_50"": 14, ""21_30"": 52, ""12_20"": 39, ""gt50"": 14}",12,19,0,113.13553990341484,0.7990889098334905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343.0,15.0,22.666666666666668,20.0,13.68871624298467,1.0,4.0,0.06666666666666667,0.26666666666666666,"{""21_30"": 2, ""lt12"": 4, ""12_20"": 5, ""31_40"": 3, ""gt50"": 1}",0.0,0.0,0.0,100.41459503171055,0.05387998743323908
