section,count
Abstract,125
Conclusion,91
Introduction,73
Notes,44
SECTION_1,41
Disclosure Statement,29
Disclosure statement,28
Notes on contributor,21
ORCID,7
Methods,5
Funding,3
Notes on contributors,3
Discussion,3
Results,2
Notes on Contributor,2
…,2
I,2
II,2
44,2
Previous Studies and Research Aims,1
Political Discourse and COVID-19: Terminology,1
Literal and Metaphorical Uses,1
Metaphorical Representations of COVID-19,1
Change over Time,1
Plagiarism and decolonisation,1
Yellowface and the menace of mimicry,1
Tokens and tokenisation,1
GenAI as unreliable narrator,1
"""We Want Pattern""",1
Pattern Technoscience and Grid-Shaped Control,1
Pattern Mysticism,1
"Fukushima disaster, nature, and nationalistic narratives",1
Nuclear neocolonialism and transnational indigenous activism,1
Ecofeminism: collaboration and contamination,1
Refusing the future; redefining the future,1
Absurdism and multilingualism as a counter to aestheticism and kokutai,1
Minamata disease: queer ecology and disability justice,1
The interplay of collective trauma and implicit memory in Indonesian literature,1
From silence to resistance: Navigating oppression in Ayu Utami's Saman,1
Political upheavals and silence in Enrico's Love Story,1
Unspoken geopolitics in Ayu Utami's Saman and Enrico's Love Story,1
Out-of-control Gardens as Permeable Sanctuaries,1
"Despite It All, the Garden Sustains Life",1
"Against ""unlocalized"" spirituality",1
Hope and metaphor,1
"Animist loss, absence, and lack",1
Homegoing as hopegoing,1
Parataxis,1
Pedagogy,1
Inventing and pathologising sexuality through translation,1
"Inventing neologisms, finding equivalents",1
Encounters with European sexology as a scene of translation,1
Lands of tolerance or persecution,1
Part I,1
Part II,1
"Activisms, legislations, and legitimised self-perceptions",1
Genealogies of (self-)perception,1
"Psy knowledge, diagnostic categories, and forms of pathologizing",1
Sexually dissident activism and its struggles for recognition,1
Disrupted temporalities in Paying the Land,1
"Autographics, attachment, and framing extraction in Ducks",1
Seeing energy otherwise,1
6,1
"Geographies of Power and ""Black Livingness""",1
"""Homeplace"" as a Black Safe Space",1
Domestic Fugitivity or Marronage?,1
Coda,1
"Empire, environmentalism, and alternative visions",1
2,1
Shared Motifs,1
(a) Hero Learns at Home,1
(d) Outfitting of the Hero,1
(e) Clothing Makes the Man,1
(g) Revelation of Hero's Backstory,1
(h) Debate About the Hero,1
(i) King Receives Hero's Help,1
Interpretive implications,1
The Ethics of Telling Mother's Story: The Narrator as Son,1
Mother: Life,1
Donald: The Guide,1
The Narrator (I): Interpreter,1
The Narrator (II): The Reader,1
The Narrator (III): The Author,1
What is psychopolitics?,1
Psyche optimisation,1
2010,1
What lies behind Neuralink's discourses and practices?,1
"The A-side of Neuralink: a transhumanist, scientific, medical and apolitical project",1
Datification of the Psyche,1
Constant improvement of the psyche,1
Technological revolution and extitutionalisation,1
Neuralink: a psychopolitical project,1
Ezra Pound's return to Ernest Fenollosa,1
Canto 49 and The Fifth Decad. Questions of composition,1
The Japanese message,1
Credit line,1
The problematics of ghosts with roots and weak rootedness,1
"The nurturing ghost in ""Rising Lion""",1
Affective and psychic affinities with the queer transnational in Black Water Sister,1
Note,1
"Moisture, Vicissitude, and the Status of Res",1
Imitative Labour Between Rhetoric and Nature,1
Speech and Hieroglyph in Bensalem,1
Inhabiting the Ordinary as a Form of Lateral Agency,1
Weathering the Endtimes,1
Q: How can I tell if those around me would become good Germans?,1
A Sense of an Ending,1
Alienation as the condition of freedom,1
Enter stage left: Valerii Pereleshin,1
Patriotism as unfreedom,1
Disruption of linear time,1
Critique of founding narratives,1
Reimagining marginalized voices,1
Integration of futures past,1
"Metaphors, cultural politics and discursive strategies in development",1
Selection of British development INGOs,1
Selection of statements,1
Validation of the organisation,1
Racism is structural to the sector and individualised,1
"Racism as implicit, explicit and in metaphor",1
Atomic Bomb Victimhood and Nuclear Hegemony: Inter-imperial Framework,1
Return of the Past,1
Entanglement of the Personal and the Political,1
Inter-imperial Continuities,1
Effacement of Selfhood,1
Interconnectedness,1
Critical Relations,1
Crisis Ordinariness and Beyond,1
What does it matter now? (428),1
Vibrant Relations,1
Coda: Crisis Extraordinariness,1
Note on translation,1
"Indeed, This Is How It Was, Brother! 4",1
One of the finest examples of this epistolary form of writing is,1
Reviewing Kathy Acker's posthumously published email correspondence for,1
Networks of confession,1
The counter-confessional 'I',1
Disidentificatory codenames,1
Hermeneutical decoding of binaries,1
Resistance protocols,1
"Imagination, imaginary and the digital",1
Simondon's transductive image cycle,1
"Stiegler, originary technicity and hypercapitalist entropy",1
Imagining GenAI otherwise to the AI myth,1
Expanding imaginaries: Beyond the university circle,1
Shen-Qi 神气: The exophonic animation of American objectivist poetics,1
Planetarity and Its Literary Representations,1
Orbiting Planet Earth: Utopian Community Beyond Borders,1
Tracing Capitalocene: Planetary Scale of Matabolic Rift,1
Planetary Exile in the Anthropocene: Humanity without Refuge,1
The Diary of Samuel Pepys,1
Narrative Present Perfect and Aoristic Drift,1
Current Relevance and Discourse Topics,1
The Standard Use of the Present Perfect and NPP in the Diary,1
NPP and Temporal Syntactic Triggers,1
A Drift towards a Past Perfective,1
The Paston Letters,1
Narrators as 'supposed to know',1
Etsuko's dilemma,1
Ishiguro's 'misleading' narratives,1
1.,1
2.,1
3.,1
Posthuman Affect: Individual Motivations for AI Self-Sacrifice,1
Evolutionary Anxiety: Group-Selection Altruism in AI,1
Sacrificial Reparation: Ishiguro's Reworking of Mythic Imaginaries of Technology,1
Works Cited,1
"Scribal Languages in National Library of Wales, Brogyntyn ii.1",1
Scribes J and O as Organisers of Brogyntyn ii.1,1
Palaeographical Features of the Main Scribes of Brogyntyn ii.1,1
Traces of Provenance: Dialectal Features of Scribes O and J,1
Traces of Training: Spelling and Other Writing Features of Scribes O and J,1
Shared Spelling Features in the Work of Scribes O and J,1
Other Shared Writing Features of the Scribes,1
Transformative disgust,1
Disgust as a disturbance of bodily boundaries,1
Capitalocene readings: commodified environmental discourse and supernatural resistance,1
Intersectional environmental fiction: cri-fi,1
Resistance from within and beyond capitalism,1
Archipelagic thinking as an alternative epistemological mode: Implications for the study of anglophone Singapore literature,1
Rawa,1
The Great Reclamation,1
There's a Snake In Alemdağ: A spatial reading,1
"Anglophone Bruneian literature: Rewriting ""natives-in-place""",1
Articulating an alter-native cultural imaginary in The Bubble Princess and the Stone Heart,1
Embodied mobilities as a framework for racial inclusion,1
Beowulf's Malestream Phenomenal Diction: Seas and Selves,1
Beowulf's Sea-Voyage,1
The Sea in the Breca Episode,1
Armoured Phenomenology and Grendel's Mother's Mere,1
Beowulf's Sea-Booty,1
I. Reading infrastructurally,1
II. Literary nations,1
III. Railroad selfhood,1
IV. Blues imaginaries,1
V. Railroad afterlives,1
Step-hood and sexuality,1
Reversing the inversion,1
"Selahattin Enis's legacy and Everybody's Woman, as a serial novel",1
Fikriye as a performative character,1
Homosocial culture: gay and lesbian love in Everybody's Woman,1
Social criticism and the literary canon,1
Cohesion: Construction of the Hailsham Homeland Community,1
Exile: Clone Diaspora and the Fragmentation and Consolidation of the Memory Community,1
"Return: Non-Places, Revisiting the Community, and Reconstruction of a Spiritual Homeland",1
"Demeter, Persephone and Hades in the",1
"Persephone and the Feminist Appropriation of Myth: Mothers, Daughters, Violence and Change",1
"Infernos Exposed in Louise Glück's Averno: Persephone as Echo, Wanderer and Stranger",1
Persephone: The Echo,1
Persephone: The Wanderer,1
Persephone: The Stranger,1
Suns of Independence: The specter of sterility in African societies,1
Allah Is Not Obliged: Moral decay in postcolonial Africa,1
Grief and the lexicon of absence,1
The widow: naming loss in negation,1
The mother unnamed,1
mother:,1
Mother:,1
Elegy without closure,1
"""All that speech""",1
Forbes's active targets,1
The Moment's haecceity,1
Beginnings in The Stunned Mullet,1
Memorializing in The Stunned Mullet,1
Viewing in The Stunned Mullet,1
"Between Self-expression and Social Expectations: Marianne's Emotional Authenticity and Elinor's ""General Civility""",1
The Politics of Sensibility and the Role of Fortitude in Balancing Passion,1
The Happiness of Marianne and Elinor,1
Expanding the storyworld: from James's 'extranarrative contexts' to Genette's paratexts,1
Capitalism's God-trick: reconceptualizing scales of time and space,1
Reconstructing the Capitalocene: from the capitalocenic storyworld to scaled-up temporality and spatiality,1
Waiting for a post-capitalist utopia: on the anonymity and collectivity of the citizen,1
The Dermogrotesque as a Conceptual Framework,1
Ham on Rye as an Illness (Non)Narrative In-Tension,1
Chinaski's Dermogrotesque Embodiment,1
"Surveillance, Shame, and the Skin Economy",1
The Body as a Narrative Surface,1
Acne as an Illness Narrative,1
Beyond Cure,1
The rise of confessional citizenship in neoliberal Turkey,1
Queer life writing and the politics of confession,1
Pornography and queer readership,1
The Rise of the Multitude: An Idealised Model of Resistance,1
The Multitude's Inefficiency in Claiming Political Freedom,1
Philosophy of nature and technology,1
The Galilean deduction,1
The cybernetic expansion,1
Machines,1
The being and time of machines,1
Maelzel's Chess-Player,1
Metatechnology and anthropology,1
Enduring struggle and resistance: Peasant uprisings and the fight for land in Negros,1
Depicting anticolonial defiance through forms of orality,1
Feast and Famine,1
