section_raw,count
Abstract,125
Conclusion,91
Introduction,73
Notes,44
SECTION_1,41
Disclosure_Statement,29
Disclosure_statement,28
Notes_on_contributor,21
ORCID,7
Methods,5
Notes_on_contributors,3
Discussion,3
Funding,3
Results,2
II,2
Notes_on_Contributor,2
I,2
Untitled,2
44,2
2,2
Selahattin_Enis_s_legacy_and_Everybody_s_Woman_as_a_serial_novel,1
Reconstructing_the_Capitalocene_from_the_capitalocenic_storyworld_to_scaled_up_temporality_and_spatiality,1
Reconstituting_Asian_Subjectivity,1
Reckoning_and_Reconciliation_the_Metamodern_Affect_of_The_Trees,1
Reading_the_land_morphologies_of_natural_and_cultural_landscapes,1
Reading_newspapers_reimagining_the_said_into_the_saying,1
Reading_about_the_past_thinking_about_the_future,1
Rawa,1
Ralahine_radicalism_and_the_rural_commune,1
Rain_Carter_s_perceptive_freedom_as_an_artist,1
Racism_is_structural_to_the_sector_and_individualised,1
Racism_as_implicit_explicit_and_in_metaphor,1
Queer_life_writing_and_the_politics_of_confession,1
Reframing_The_Republic_of_Wine_in_Global_Dystopian_Literature,1
Queer_hauntology,1
Q_How_can_I_tell_if_those_around_me_would_become_good_Germans,1
Psyche_optimisation,1
Psy_knowledge_diagnostic_categories_and_forms_of_pathologizing,1
Priests_peasants_and_The_Plough_and_The_Cross,1
Sociological_Matrix_Motherhood_Mothering_Black_Parenting,1
Previous_Studies_and_Research_Aims,1
Precarious_care_eroding_infrastructures_fractured_forms,1
Power_differentials_in_a_postcolonial_context,1
Posthuman_performativity_and_dis_embodied_gender,1
Posthuman_Affect_Individual_Motivations_for_AI_Self_Sacrifice,1
Social_criticism_and_the_literary_canon,1
Refusing_the_future_redefining_the_future,1
Seeing_energy_otherwise,1
Reimagining_marginalized_voices,1
Section_2_Ethical_Consistency_and_the_Deterritorialization_of_the_Human,1
Scribes_J_and_O_as_Organisers_of_Brogyntyn_ii_1,1
Scribal_Languages_in_National_Library_of_Wales_Brogyntyn_ii_1,1
Scale_Materiality_Reality,1
Sacrificial_Reparation_Ishiguro_s_Reworking_of_Mythic_Imaginaries_of_Technology,1
Selection_of_British_development_INGOs,1
Reviewing_Kathy_Acker_s_posthumously_published_email_correspondence_for,1
Reversing_the_inversion,1
Return_of_the_Past,1
Return_Non_Places_Revisiting_the_Community_and_Reconstruction_of_a_Spiritual_Homeland,1
Selection_of_statements,1
Sexually_dissident_activism_and_its_struggles_for_recognition,1
Shakespeare_as_a_Historiographer_and_Mythographer,1
Shared_Motifs,1
Shared_Spelling_Features_in_the_Work_of_Scribes_O_and_J,1
Political_upheavals_and_silence_in_Enrico_s_Love_Story,1
Shen_Qi_The_exophonic_animation_of_American_objectivist_poetics,1
Resisting_totalising_language_Woolf_and_Levinas_in_conversation,1
Simondon_s_transductive_image_cycle,1
Resistance_protocols,1
Resistance_from_within_and_beyond_capitalism,1
Research_questions_and_procedures,1
Reinforcing_the_east_west_dichotomy,1
Pornography_and_queer_readership,1
1,1
Political_Discourse_and_COVID_19_Terminology,1
Poetry_Dramas_as_Formal_Experimentation,1
Nuclear_neocolonialism_and_transnational_indigenous_activism,1
Notes_towards_an_aesthetics_of_existence,1
Note_on_translation,1
Note,1
Neuralink_a_psychopolitical_project,1
Networks_of_confession,1
Natural_landscape_narrative_in_Refuge_vanishing_birds_rising_waters,1
Narrators_as_supposed_to_know,1
Narrative_of_mourning_shared_memories_of_family_and_land,1
Narrative_of_invisible_ecology_the_body_as_an_archive_of_ecological_trauma,1
Narrative_ignorance,1
Narrative_handover,1
Narrative_Present_Perfect_and_Aoristic_Drift,1
Narcissism_Neoliberalism_Technocapitalism_The_Contemporary_Sites_of_Shteyngart_s_Achievers,1
Naming_Games_and_the_Godkin_Twins,1
NPP_and_Temporal_Syntactic_Triggers,1
Music_as_information,1
Mrs_Leroy_s_neighbourhood_and_social_circle,1
Mr_Crocodile_is_he_not_I,1
Mourning_Hope_and_Resentment_Post_Brexit_Affects_in_Autumn,1
Mothers_in_Morrison_s_Work,1
Mothers_and_Lovers,1
Motherhood_in_Translated_Chinese_Science_Fiction_Voices_from_Urban_and_Marginalized_Contexts,1
Mother_Life,1
Mother,1
Mor_s_journey_towards_acquiring_a_different_sense_of_freedom,1
Monstrous_Whiteness_and_Male_Anxiety,1
Oedipus_the_King,1
One_of_the_finest_examples_of_this_epistolary_form_of_writing_is,1
Opposites_attract,1
Pedagogy,1
Poetry_Drama_as_a_Form_of_Poetry,1
Playing_poet_Brooke_s_Monkey_Brand_soap,1
Planetary_Exile_in_the_Anthropocene_Humanity_without_Refuge,1
Sonic_Repetitions,1
Planetarity_and_Its_Literary_Representations,1
Plagiarism_and_decolonisation,1
Philosophy_of_nature_and_technology,1
Persephone_and_the_Feminist_Appropriation_of_Myth_Mothers_Daughters_Violence_and_Change,1
Persephone_The_Wanderer,1
Persephone_The_Stranger,1
Persephone_The_Echo,1
People_were_crushed_and_burnt,1
Pattern_Technoscience_and_Grid_Shaped_Control,1
Orbiting_Planet_Earth_Utopian_Community_Beyond_Borders,1
Pattern_Mysticism,1
Patriotism_as_unfreedom,1
Patience_Agbabi_s_Reception_in_Chaucer_Studies,1
Patience_Agbabi_Memory_Sergeant_and_Civilizationist_Secularism,1
Part_II,1
Part_I,1
Paratextual_Optimism,1
Parataxis,1
Panarchy_Loops_as_a_Structuring_Conceptual_Form,1
Palaeographical_Features_of_the_Main_Scribes_of_Brogyntyn_ii_1,1
Out_of_control_Gardens_as_Permeable_Sanctuaries,1
Other_Shared_Writing_Features_of_the_Scribes,1
Solar_Becoming_The_Posthuman_Assemblage,1
Step_hood_and_sexuality,1
Sovereignty_Violence_and_Reterritorialization,1
Thinking_through_the_skin,1
Unspoken_geopolitics_in_Ayu_Utami_s_Saman_and_Enrico_s_Love_Story,1
University_of_Stuttgart_February_5_1965,1
Two_paintings_the_possibility_of_silent_Saying,1
Trauma_Memory_and_Spirituality,1
Transgenerational_Generational_and_Relational_Time_A_Feminist_Approach,1
Transformative_disgust,1
Tracing_Forgotten_Memories_Falling_Leaves_Returning_to_the_Root,1
Tracing_Capitalocene_Planetary_Scale_of_Matabolic_Rift,1
Traces_of_Training_Spelling_and_Other_Writing_Features_of_Scribes_O_and_J,1
Traces_of_Provenance_Dialectal_Features_of_Scribes_O_and_J,1
Tokens_and_tokenisation,1
Three_diasporic_writings,1
This_is_My_Story_and_You_Cannot_Control_It_Perception_the_Gothic_Double_and_the_Erasure_of_Self_in_Maeve_Fly,1
There_s_a_Snake_In_Alemda_A_spatial_reading,1
The_Workings_of_Affect_The_Turn_from_Trauma_to_Affect,1
Theory_of_Deconstruction,1
The_widow_naming_loss_in_negation,1
The_rise_of_confessional_citizenship_in_neoliberal_Turkey,1
The_problematics_of_ghosts_with_roots_and_weak_rootedness,1
The_nurturing_ghost_in_Rising_Lion,1
The_mother_unnamed,1
The_metaphor_of_the_rooster_coop_Psychosocial_and_economic_incapacitation,1
The_membrane,1
The_interplay_of_collective_trauma_and_implicit_memory_in_Indonesian_literature,1
The_cybernetic_expansion,1
The_counter_confessional_I,1
The_campaign_within_government,1
The_being_and_time_of_machines,1
Unveiling_the_covert_dual_narrative_processes_in_Refuge,1
V,1
V_Railroad_afterlives,1
Validation_of_the_organisation,1
s_account_of_Ralahine_in,1
mother,1
i_King_Receives_Hero_s_Help,1
h_Debate_About_the_Hero,1
g_Revelation_of_Hero_s_Backstory,1
e_Clothing_Makes_the_Man,1
d_Outfitting_of_the_Hero,1
a_Hero_Learns_at_Home,1
Yellowface_and_the_menace_of_mimicry,1
Writing_and_translating_across_power_differentials_Paratextual_mediation,1
Writing_and_self_orientalizing_for_publication,1
Works_Cited,1
Words_without_meaning_Woolf_s_new_vision_of_community_and_language,1
Wild_Swans,1
Whodunit_to_Who_Did_It_Subverting_the_Detective_Genre_and_Exposing_Collective_Guilt,1
When_he_voices_Sweet_Mephistopheles_and_when_they_share_books,1
What_lies_behind_Neuralink_s_discourses_and_practices,1
What_is_psychopolitics,1
What_is_a_Chantey_and_Why_is_Authentication_Important,1
What_does_it_matter_now_428,1
Weathering_the_Endtimes,1
We_Want_Pattern,1
Water_and_Its_Ambiguities,1
Waiting_for_a_post_capitalist_utopia_on_the_anonymity_and_collectivity_of_the_citizen,1
Violence_Sex_and_Power_Predatory_Masculinity_as_the_Hegemonic_Model_and_the_Ascent_of_Baldy_Li,1
Viewing_in_The_Stunned_Mullet,1
Vibrant_Relations,1
The_Yard_and_the_Ethics_of_Disposability,1
The_Twenty_First_Century_Witness,1
Speech_and_Hieroglyph_in_Bensalem,1
Technological_revolution_and_extitutionalisation,1
The_Diary_of_Samuel_Pepys,1
The_Dialectic_of_Estrella_de_Mar_and_Residencia_Costasol,1
The_Dermogrotesque_as_a_Conceptual_Framework,1
The_Cultural_Revolution_and_the_Destruction_of_the_Patriarchal_Ideal,1
The_Critique_of_Capaldi_Transhumanism_Vs_Relational_Posthumanism,1
